artist_names,track_name,peak_streams,total_streams,peak_rank_max,max_days_on_chart,best_day_streams,first_appearance,uri,source,best_day_date,genres
Ariana Grande,we can't be friends (wait for your love),9432687,1117032647,5,299,9432687,2024-03-08,spotify:track:46kspZSY3aKmwQe7O77fCC,Republic Records,2024-03-15,['Pop']
Doja Cat,Paint The Town Red,9146029,1114143798,22,358,9146029,2023-08-04,spotify:track:2IGMVunIBsBLtEQyoI1Mu7,Kemosabe Records/RCA Records,2023-09-22,"['Rap/Hip Hop', 'Pop']"
Doja Cat,Woman,4541274,1107964408,63,534,4541274,2023-01-01,spotify:track:6Uj1ctrBOjOas8xZXGqKk4,Kemosabe Records/RCA Records,2021-09-17,['Pop']
Travis Scott,HIGHEST IN THE ROOM,8000249,1102157317,1,748,8000249,2020-01-01,spotify:track:3eekarcy7kvN4yt5ZFzltW,Cactus Jack/Epic,2019-10-04,"['Rap/Hip Hop', 'Pop']"
Måneskin,Beggin',8005228,1097657144,195,466,8005228,2022-01-01,spotify:track:3Wrjm47oTz2sjIgck11l5e,RCA Records Label,2021-07-16,['Pop']
Noah Kahan,Stick Season,4589005,1096653118,175,447,4589005,2023-10-09,spotify:track:0mflMxspEfB0VbI1kyLiAv,Mercury Records/Republic Records,2024-02-09,['Alternative']
Farruko,Pepas,4991996,1092223873,189,486,4991996,2023-01-01,spotify:track:2B4GHvToeLTOBB4QLzW3Ni,Sony Music Latin,2021-09-18,"['Dance', 'Rap/Hip Hop', 'Pop', 'Latin Musik']"
Bad Bunny,Yonaguni,7191161,1091187590,3,574,7191161,2023-01-01,spotify:track:2JPLbjOn0wPCngEot2STUS,Rimas Entertainment LLC,2021-06-05,['Latin Musik']
"Imagine Dragons, JID, Arcane, League of Legends",Enemy (with JID) - from the series Arcane League of Legends,4045965,1090642289,45,527,4045965,2023-01-01,spotify:track:3CIyK1V4JEJkg02E4EJnDl,Kid Ina Korner / Interscope,2022-02-04,[]
Chappell Roan,"Good Luck, Babe!",6303841,1090560986,197,267,6303841,2024-04-09,spotify:track:0WbMK4wrZ1wFSty9F7FCgu,Chappell Roan PS/ Island,2024-08-23,['Pop']
Artemas,i like the way you kiss me,9844169,1081960372,143,285,9844169,2024-03-20,spotify:track:2GxrNKugF82CnoRFbQfzPf,Artemas,2024-04-16,"['Alternative', 'Pop']"
"Drake, Wizkid, Kyla",One Dance,1932376,1079548146,5,1533,1932376,2023-03-02,spotify:track:1zi7xx7UVEFkmKfv06H8x0,Cash Money Records/Young Money Ent./Universal Rec.,2024-02-23,['Rap/Hip Hop']
"Eslabon Armado, Peso Pluma",Ella Baila Sola,9047794,1074105220,13,320,9047794,2023-03-17,spotify:track:3dnP0JxCgygwQH9Gm7q7nb,DEL Records,2023-04-22,['Latin Musik']
Sabrina Carpenter,Nonsense,3480172,1072881057,65,707,3480172,2023-01-12,spotify:track:6dgUya35uo964z7GZXM07g,Island Records,2023-01-24,[]
