rank,uri,artist_names,track_name,source,peak_rank,previous_rank,days_on_chart,streams,date,year-month,genres
177,spotify:track:3SWGtKHaCFEUqfm9ydUFVw,Conan Gray,Disaster,Republic Records,177,-1,1,918720,2022-06-24,2022-06,"['Rock', 'Folk', 'Pop']"
147,spotify:track:4zHvWi4iFAG45lgiN7smLC,"NAYEON, Felix of Stray Kids",NO PROBLEM (Feat. Felix of Stray Kids),Republic Records – NAYEON (TWICE),147,-1,1,999294,2022-06-24,2022-06,['Asian Music']
187,spotify:track:7gwT3HGL84vF7bgtwL1N88,Lasso,Ojos Marrones,Universal Music Mexico,187,-1,1,829911,2022-06-29,2022-06,"['Latin Music', 'Pop']"
198,spotify:track:0i4UV3HjjvsUuV3BajEXoD,"MC Tairon, Mc Vitin Da Igrejinha, Dj Win, life song",Baile no Morro,ID1642 - Life Song Records,198,-1,1,814427,2022-06-30,2022-06,"['Alternative/Indie', 'R&B/Soul']"
135,spotify:track:5JCquuXMmdXNypO32fPb0M,Paulo Londra,Nublado,WEA Latina,135,-1,1,961796,2022-06-30,2022-06,"['Latin Music', 'Pop', 'Rock', 'Hip Hop']"
173,spotify:track:77UICuAzXRYuJqdhcy6R3m,Paulo Londra,Luces,WEA Latina,173,-1,1,877058,2022-06-30,2022-06,"['Latin Music', 'Electronic', 'Hip Hop']"
136,spotify:track:1O73ZKgl0THUImkHW6dfAL,"Kygo, Dean Lewis",Never Really Loved Me (with Dean Lewis),Kygo/RCA Records,136,-1,1,978374,2022-07-01,2022-07,"['Electronic', 'Pop']"
183,spotify:track:5vC8UAOHeG95ehRzZChniB,"L7NNON, DJ Biel do Furduncinho, Bianca",Ai Preto,Papatunes,183,-1,1,858958,2022-07-01,2022-07,"['Latin Music', 'R&B/Soul']"
184,spotify:track:2MuWTIM3b0YEAskbeeFE1i,Metallica,Master Of Puppets,Blackened Recordings / Universal Music,184,-1,1,858779,2022-07-01,2022-07,"['Metal', 'Rock']"
159,spotify:track:1JIgFmCP5OCTEGV866WP3b,Yeat,Rich Minion,Back Lot Music,159,-1,1,938878,2022-07-01,2022-07,"['Electronic', 'Movie/Game Music', 'Hip Hop']"
27,spotify:track:3uJFmluXzYedoJcvhpC1AW,"Cardi B, Kanye West, Lil Durk",Hot Shit (feat. Ye & Lil Durk),Atlantic Records,27,-1,1,2070023,2022-07-01,2022-07,['Hip Hop']
